station_m	X_ref_m	Y_ref_m	psi_ref_rad	curvature_1pm	local_speed_limit_mps	vx_ref_mps	yaw_rate_ref_radps
64.25	64.2105823720148	0.851899307055458	0.136846179706029	0.00845795234800156	15	15	0.126869285220023
64.5	64.4582089152505	0.886266047352814	0.138922790157628	0.00815115970050745	15	15	0.122267395507612
64.75	64.7057648994202	0.921137440966449	0.140921759556283	0.0078370175210638	15	15	0.117555262815957
65	64.953252074362	0.956493900659913	0.14284129891816	0.0075159090761549	15	15	0.112738636142324
65.25	65.20067236685	0.992315422789462	0.14467971409436	0.0071882100975329	15	15	0.107823151462993
65.5	65.4480278756472	1.0285816107001	0.146435403966926	0.00685429305887753	15	15	0.102814395883163
65.75	65.6953208660704	1.06527169769708	0.148106860623799	0.00651452640502626	15	15	0.0977178960753938
66	65.9425537640211	1.10236457031667	0.149692667169439	0.0061692681760977	15	15	0.0925390226414655
66.25	66.1897291496657	1.13983878999292	0.151191494711848	0.00581886894450828	15	15	0.0872830341676242
66.5	66.4368497506821	1.17767261461795	0.152602101641693	0.00546367496217115	15	15	0.0819551244325673
66.75	66.6839184351232	1.21584401964918	0.153923332192934	0.0051040267404604	15	15	0.076560401106906
67	66.9309382039247	1.25433071875683	0.155154115011924	0.0047402591815543	15	15	0.0711038877233144
67.25	67.1779121830828	1.29311018402991	0.156293461783711	0.004372700057167	15	15	0.065590500857505
67.5	67.424843615527	1.33215966575939	0.157340465040507	0.00400167236697091	15	15	0.0600250855045636
67.75	67.6717358527748	1.37145621138421	0.158294297967196	0.00362749935386592	15	15	0.0544124903079887
68	67.9185923462071	1.4109766850154	0.15915421471744	0.00325049923942161	15	15	0.0487574885913242
68.25	68.1654166381296	1.45069778638483	0.159919547586907	0.00287098148359316	15	15	0.0430647222538974
68.5	68.4122123527196	1.49059606882607	0.160589705459237	0.00248925213918938	15	15	0.0373387820878407
68.75	68.6589831867427	1.53064795732565	0.161164173656502	0.00210561540873583	15	15	0.0315842311310374
69	68.9057329001081	1.57082976631491	0.161642513163605	0.00172037249383883	15	15	0.0258055874075824
69.25	69.1524653062868	1.61111771723495	0.162024359903421	0.00133381982849695	15	15	0.0200072974274543
69.5	69.3991842626164	1.65148795588143	0.162309423077853	0.000946253442288714	15	15	0.0141938016343307
69.75	69.6458936605971	1.69191656907606	0.162497486624565	0.000557973369918696	15	15	0.00836960054878044
70	69.8925974158763	1.73237960267033	0.162588409762812	0.000169275590216567	15	15	0.0025391338532485
70.25	70.1392994583447	1.77285307844069	0.162582124419674	-0.000219548860347363	15	15	-0.00329323290521044
70.5	70.3860037222278	1.81331301079219	0.162478635332639	-0.000608207735863509	15	15	-0.00912311603795263
70.75	70.6327141361282	1.85373542369053	0.162278020551742	-0.000996407538780608	15	15	-0.0149461130817091
