station_m	X_ref_m	Y_ref_m	psi_ref_rad	curvature_1pm	local_speed_limit_mps	vx_ref_mps	yaw_rate_ref_radps
76.25	76.25	0	0	0	13.4	6.70246088643205	0
76.5	76.5	0	0	0	13.4	6.71317353795056	0
76.75	76.75	0	0	0	13.4	6.72386764171749	0
77	77	0	0	0	13.4	6.73454328629608	0
77.25	77.25	0	0	0	13.4	6.74520055953684	0
77.5	77.5	0	0	0	13.4	6.75583954858555	0
77.75	77.75	0	0	0	13.4	6.76646033989122	0
78	78	0	0	0	13.4	6.77706301921382	0
78.25	78.25	0	0	0	13.4	6.787647671632	0
78.5	78.5	0	0	0	13.4	6.79821438155069	0
78.75	78.75	0	0	0	13.4	6.80876323270851	0
79	79	0	0	0	13.4	6.81929430818516	0
79.25	79.25	0	0	0	13.4	6.82980769040869	0
79.5	79.5	0	0	0	13.4	6.84030346116263	0
79.75	79.75	0	0	0	13.4	6.85078170159305	0
80	80	0	0	0	13.4	6.86124249221551	0
80.25	80.25	0	0	0	13.4	6.87168591292194	0
80.5	80.5	0	0	0	13.4	6.88211204298735	0
80.75	80.75	0	0	0	13.4	6.89252096107655	0
81	81	0	0	0	13.4	6.90291274525071	0
81.25	81.25	0	0	0	13.4	6.91328747297381	0
81.5	81.5	0	0	0	13.4	6.92364522111909	0
81.75	81.75	0	0	0	13.4	6.93398606597531	0
82	82	0	0	0	13.4	6.94431008325299	0
82.25	82.25	0	0	0	13.4	6.95461734809053	0
82.5	82.5	0	0	0	13.4	6.9649079350603	0
82.75	82.75	0	0	0	13.4	6.97518191817457	0
83	83	0	0	0	13.4	6.98543937089139	0
83.25	83.25	0	0	0	13.4	6.99568036612046	0
83.5	83.5	0	0	0	13.4	7.00590497622879	0
83.75	83.75	0	0	0	13.4	7.0161132730464	0
84	84	0	0	0	13.4	7.02630532787189	0
84.25	84.25	0	0	0	13.4	7.03648121147792	0
84.5	84.5	0	0	0	13.4	7.04664099411667	0
84.75	84.75	0	0	0	13.4	7.0567847455252	0
85	85	0	0	0	13.4	7.0669125349307	0
85.25	85.25	0	0	0	13.4	7.07702443105578	0
85.5	85.5	0	0	0	13.4	7.08712050212352	0
85.75	85.75	0	0	0	13.4	7.09720081586266	0
86	86	0	0	0	13.4	7.10726543951253	0
86.25	86.25	0	0	0	13.4	7.11731443982806	0
86.5	86.5	0	0	0	13.4	7.12734788308462	0
86.75	86.75	0	0	0	13.4	7.1373658350829	0
87	87	0	0	0	13.4	7.14736836115359	0
87.25	87.25	0	0	0	13.4	7.15735552616218	0
87.5	87.5	0	0	0	13.4	7.16732739451351	0
87.75	87.75	0	0	0	13.4	7.1772840301564	0
88	88	0	0	0	13.4	7.18722549658816	0
88.25	88.25	0	0	0	13.4	7.19715185685905	0
88.5	88.5	0	0	0	13.4	7.2070631735767	0
